label,start_range_m,hit,hit_t_s,min_range_m,final_range_m,frames,detected_frames,valid_frames,detected_ratio,valid_ratio,max_load_factor_fd_g,command_load_p95_g,truth_or_guidance_p95_g,los_error_p95_deg,ttc_p50_s,ttc_valid_ratio,avg_sim_sample_fps
K0,60.0,True,9.945212364196777,1.282841179459982,1.282841179459982,199,181,174,0.9095477386934674,0.8743718592964824,1.3955704633086643,6.792520110900925,0.40728993154701437,7.4533141358560036,2.729,0.7688442211055276,19.923074294914283
L,60.0,True,10.029214143753052,1.2707944971261078,1.2707944971261078,200,180,180,0.9,0.9,1.501951078311728,10.661396903698137,0.42456416385586687,7.232239087010043,2.8724999999999996,0.78,19.886875476947566
L0,60.0,True,9.792208909988403,1.180169145609249,1.180169145609249,196,178,178,0.9081632653061225,0.9081632653061225,1.4136289097857904,6.330888240038129,0.4160585584265454,7.312367941044938,2.7895,0.7959183673469388,19.928628995556952
M,60.0,True,10.377221584320068,1.0870751850541924,1.1455138040976973,207,193,183,0.9323671497584541,0.8840579710144928,1.4861234577607092,4.408728378162715,1.257524617410481,14.461279482384157,nan,0.0,19.8952261525743
M0,60.0,True,9.891211032867432,1.2078691711031202,1.2078691711031202,198,189,187,0.9545454545454546,0.9444444444444444,1.8148936531607514,2.757772613309609,0.9364967241992985,7.275958984310316,nan,0.0,19.930897609259652
N,60.0,True,13.689292192459106,1.2284272402618106,1.2284272402618106,273,270,270,0.989010989010989,0.989010989010989,0.8454846542123283,15.869536848095105,3.7003341292166674,7.7734199667217645,nan,0.0,19.903492641050278
N0,60.0,True,11.148237943649292,0.9944378246724901,1.0360483799513054,223,202,202,0.905829596412556,0.905829596412556,1.4574706354942646,14.474335202912584,4.2034958550929655,7.249096480798214,nan,0.0,19.92759089284308
P,60.0,True,14.652312517166138,0.9709528898847071,0.9951827811564014,292,289,289,0.9897260273972602,0.9897260273972602,1.1692138332445459,15.844841816894396,4.508635406880113,7.9310091542669685,nan,0.0,19.89585284121285
P0,60.0,True,11.298240900039673,1.3162368279563297,1.3162368279563297,226,208,208,0.9203539823008849,0.9203539823008849,1.4839348206093506,13.354021893001496,2.9677448648565075,7.274274182613288,nan,0.0,19.928768824390932
J,70.0,True,10.080215215682983,1.3424279578322948,1.3424279578322948,201,189,187,0.9402985074626866,0.9303482587064676,1.7476702072116308,0.7027553744123722,0.4518834910896497,7.542577288481733,2.948,0.8258706467661692,19.889689911187407
J0,70.0,True,10.143216371536255,1.36071786190604,1.36071786190604,203,190,189,0.9359605911330049,0.9310344827586207,1.557875016899368,0.2898969760477833,0.41552042341411655,7.337240580259488,3.0,0.8226600985221675,19.92895757584703
